央视频道,#genre#
吉林卫视,http://120.4.126.153:1234/947472500
吉林卫视,http://117.15.157.81:1234/947472500
吉林卫视,http://61.161.61.119:9004/hls/31/index.m3u8
吉林卫视,http://114.245.198.169:85/tsfile/live/47/1047_1.m3u8?key=txiptv
吉林卫视,http://113.232.12.186:1234/947472500
辽宁卫视,http://61.178.227.57:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://111.61.214.160:7788/630291707
辽宁卫视,http://114.241.105.149:85/tsfile/live/31/1031_1.m3u8?key=txiptv
辽宁卫视,http://120.4.126.153:1234/630291707
辽宁卫视,http://117.15.157.81:1234/630291707
辽宁卫视,http://61.161.61.119:9004/hls/32/index.m3u8
辽宁卫视,http://114.245.198.169:85/tsfile/live/31/1031_1.m3u8?key=txiptv
辽宁卫视,http://113.232.12.186:1234/630291707
内蒙古卫视,http://61.178.227.57:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://114.241.105.149:85/tsfile/live/50/1050_1.m3u8?key=txiptv
内蒙古卫视,http://61.161.61.119:9004/hls/39/index.m3u8
内蒙古卫视,http://114.245.198.169:85/tsfile/live/50/1050_1.m3u8?key=txiptv
湖南卫视,http://61.178.227.57:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://114.241.105.149:85/tsfile/live/26/1026_1.m3u8?key=txiptv
湖南卫视,http://123.154.44.162:85/tsfile/live/1031_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://114.245.198.169:85/tsfile/live/26/1026_1.m3u8?key=txiptv
广东卫视,http://61.178.227.57:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://111.61.214.160:7788/608831231
广东卫视,http://120.4.126.153:1234/608831231
广东卫视,http://117.15.157.81:1234/608831231
广东卫视,http://123.154.44.162:85/tsfile/live/1034_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://61.161.61.119:9004/hls/57/index.m3u8
广东卫视,http://113.232.12.186:1234/608831231
大湾区卫视,http://111.61.214.160:7788/608917627
大湾区卫视,http://120.4.126.153:1234/608917627
大湾区卫视,http://117.15.157.81:1234/608917627
大湾区卫视,http://113.232.12.186:1234/608917627
河南卫视,http://61.178.227.57:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://111.61.214.160:7788/790187291
河南卫视,http://114.241.105.149:85/tsfile/live/34/1034_1.m3u8?key=txiptv
河南卫视,http://120.4.126.153:1234/790187291
河南卫视,http://117.15.157.81:1234/790187291
河南卫视,http://123.154.44.162:85/tsfile/live/1043_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://61.161.61.119:9004/hls/58/index.m3u8
河南卫视,http://114.245.198.169:85/tsfile/live/34/1034_1.m3u8?key=txiptv
河南卫视,http://113.232.12.186:1234/790187291
河北卫视,http://61.178.227.57:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://111.61.214.160:7788/962042070
河北卫视,http://120.4.126.153:1234/962042070
河北卫视,http://117.15.157.81:1234/962042070
河北卫视,http://61.161.61.119:9004/hls/59/index.m3u8
河北卫视,http://113.232.12.186:1234/962042070
宁夏卫视,http://111.61.214.160:7788/738910535
宁夏卫视,http://120.4.126.153:1234/738910535
宁夏卫视,http://117.15.157.81:1234/738910535
宁夏卫视,http://61.161.61.119:9004/hls/50/index.m3u8
宁夏卫视,http://113.232.12.186:1234/738910535
甘肃卫视,http://61.178.227.57:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://61.161.61.119:9004/hls/40/index.m3u8
青海卫视,http://61.178.227.57:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://111.61.214.160:7788/947472506
青海卫视,http://114.241.105.149:85/tsfile/live/51/1051_1.m3u8?key=txiptv
青海卫视,http://120.4.126.153:1234/947472506
青海卫视,http://117.15.157.81:1234/947472506
青海卫视,http://114.245.198.169:85/tsfile/live/51/1051_1.m3u8?key=txiptv
青海卫视,http://113.232.12.186:1234/947472506
新疆卫视,http://61.161.61.119:9004/hls/61/index.m3u8
西藏卫视,http://61.178.227.57:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://61.161.61.119:9004/hls/49/index.m3u8
兵团卫视,http://61.178.227.57:9901/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视,http://111.61.214.160:7788/956923145
兵团卫视,http://120.4.126.153:1234/956923145
兵团卫视,http://117.15.157.81:1234/956923145
兵团卫视,http://113.232.12.186:1234/956923145
三沙卫视,http://111.61.214.160:7788/961023778
三沙卫视,http://120.4.126.153:1234/961023778
三沙卫视,http://117.15.157.81:1234/961023778
三沙卫视,http://113.232.12.186:1234/961023778
金鹰卡通,http://61.161.61.119:9004/hls/85/index.m3u8
嘉佳卡通,http://111.61.214.160:7788/614952364
嘉佳卡通,http://120.4.126.153:1234/614952364
嘉佳卡通,http://117.15.157.81:1234/614952364
嘉佳卡通,http://61.161.61.119:9004/hls/81/index.m3u8
嘉佳卡通,http://113.232.12.186:1234/614952364
山东教育卫视,http://111.61.214.160:7788/609154353
山东教育卫视,http://120.4.126.153:1234/609154353
山东教育卫视,http://117.15.157.81:1234/609154353
山东教育卫视,http://113.232.12.186:1234/609154353

港台节目,#genre#
凤凰中文,http://61.178.227.57:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://61.178.227.57:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰香港,http://61.178.227.57:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0

上海节目,#genre#
都市剧场,http://61.178.227.57:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0

江苏节目,#genre#
江苏教育,http://111.61.214.160:7788/628008321
江苏教育,http://120.4.126.153:1234/628008321
江苏教育,http://117.15.157.81:1234/628008321
江苏教育,http://113.232.12.186:1234/628008321
财富天下,http://111.61.214.160:7788/956923159
财富天下,http://120.4.126.153:1234/956923159
财富天下,http://117.15.157.81:1234/956923159
财富天下,http://113.232.12.186:1234/956923159

IPTV,#genre#
睛彩竞技,http://61.161.61.119:9004/hls/83/index.m3u8

地方频道,#genre#
纪实,http://61.178.227.57:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
财富天下,http://111.61.214.160:7788/956923159
财富天下,http://120.4.126.153:1234/956923159
财富天下,http://117.15.157.81:1234/956923159
财富天下,http://113.232.12.186:1234/956923159
地理,http://61.178.227.57:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
足球,http://61.178.227.57:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0

未分类节目,#genre#
24小时城市联赛轮播台,http://111.61.214.160:7788/915512915
24小时城市联赛轮播台,http://120.4.126.153:1234/915512915
24小时城市联赛轮播台,http://117.15.157.81:1234/915512915
24小时城市联赛轮播台,http://113.232.12.186:1234/915512915
4K超清,http://114.241.105.149:85/tsfile/live/21/1021_1.m3u8?key=txiptv
4K超清,http://114.245.198.169:85/tsfile/live/21/1021_1.m3u8?key=txiptv
APBA匹克球全球总决赛 APBA匹克球公开赛单项总决赛Day3 2025-2026赛季APBA匹克球公开赛单项总决赛Day3全场回放（赛场原声）（一） 09:00,http://117.15.157.81:1234/966261534
APBA匹克球全球总决赛 APBA匹克球公开赛单项总决赛Day3 2025-2026赛季APBA匹克球公开赛单项总决赛Day3全场回放（赛场原声）（三） 09:00,http://117.15.157.81:1234/966276000
APBA匹克球全球总决赛 APBA匹克球公开赛单项总决赛Day3 2025-2026赛季APBA匹克球公开赛单项总决赛Day3全场回放（赛场原声）（二） 09:00,http://117.15.157.81:1234/966265437
APBA匹克球全球总决赛 单项总决赛 Day4 2025-2026赛季APBA匹克球公开赛单项总决赛Day4全场回放（赛场原声）（一） 09:00,http://111.61.214.160:7788/966289202
APBA匹克球全球总决赛 单项总决赛 Day4 2025-2026赛季APBA匹克球公开赛单项总决赛Day4全场回放（赛场原声）（一） 09:00,http://120.4.126.153:1234/966289202
APBA匹克球全球总决赛 单项总决赛 Day4 2025-2026赛季APBA匹克球公开赛单项总决赛Day4全场回放（赛场原声）（一） 09:00,http://117.15.157.81:1234/966289202
APBA匹克球全球总决赛 单项总决赛 Day4 2025-2026赛季APBA匹克球公开赛单项总决赛Day4全场回放（赛场原声）（一） 09:00,http://113.232.12.186:1234/966289202
APBA匹克球全球总决赛 单项总决赛 Day4 2025-2026赛季APBA匹克球公开赛单项总决赛Day4全场回放（赛场原声）（三） 09:00,http://111.61.214.160:7788/966293689
APBA匹克球全球总决赛 单项总决赛 Day4 2025-2026赛季APBA匹克球公开赛单项总决赛Day4全场回放（赛场原声）（三） 09:00,http://120.4.126.153:1234/966293689
APBA匹克球全球总决赛 单项总决赛 Day4 2025-2026赛季APBA匹克球公开赛单项总决赛Day4全场回放（赛场原声）（三） 09:00,http://117.15.157.81:1234/966293689
APBA匹克球全球总决赛 单项总决赛 Day4 2025-2026赛季APBA匹克球公开赛单项总决赛Day4全场回放（赛场原声）（三） 09:00,http://113.232.12.186:1234/966293689
APBA匹克球全球总决赛 单项总决赛 Day4 2025-2026赛季APBA匹克球公开赛单项总决赛Day4全场回放（赛场原声）（二） 09:00,http://111.61.214.160:7788/966291252
APBA匹克球全球总决赛 单项总决赛 Day4 2025-2026赛季APBA匹克球公开赛单项总决赛Day4全场回放（赛场原声）（二） 09:00,http://120.4.126.153:1234/966291252
